"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"13028"	"TGM3"	2.4082158811212	8.30557713556088	52.2201019866317	4.96156239360168e-13	6.80726360402151e-09
"8699"	"LOC107132707"	3.77909642583671	3.73903828658542	48.4565524181846	3.37688119161327e-12	1.64102861166696e-08
"7191"	"LOC508459"	2.96244890705537	6.04181269961381	48.3374930717243	3.58825498177907e-12	1.64102861166696e-08
"3540"	"UPP1"	3.71519487439231	6.40754593548418	47.549375550753	5.36358413356866e-12	1.83970935781405e-08
"6621"	"BST1"	3.40082547440617	5.25101857474676	46.057912267353	1.1480853678151e-11	3.15034624928464e-08
"15276"	"TCN1"	4.33980733794824	7.74324842135151	45.2878656587875	1.70099772139342e-11	3.41572145541312e-08
"8790"	"SLC28A3"	4.33975033660636	6.62073521560423	45.2404135291185	1.742715028272e-11	3.41572145541312e-08
"4607"	"GPR84"	2.85200897611683	3.79257242325108	43.8348966410456	3.5727759304966e-11	6.12731072080167e-08
"18109"	"FCAR"	2.98613351089574	4.79452612320973	43.5393312652513	4.15523380797258e-11	6.33442309393154e-08
"25416"	"LOC101903832"	3.25710797592672	5.08938651575201	43.2685225536774	4.77198889716066e-11	6.54716876690443e-08
"13977"	"DCSTAMP"	3.76623751238852	4.30211391831814	42.9195162838133	5.70387904838208e-11	7.11429277670929e-08
"7335"	"C7H19orf35"	2.65421891138085	4.76143578672169	42.5108868181039	7.0289894663184e-11	8.0364779564907e-08
"14870"	"DGAT2"	2.80144708858526	8.64504984875941	40.5160297337277	1.95009608069654e-10	1.91810775702733e-07
"18153"	"LOC101905804"	3.33743722919435	6.83950472315071	40.5088721623475	1.95725281329319e-10	1.91810775702733e-07
"2866"	"LOC786389"	4.27180948590155	0.951666473617866	40.2357277460849	2.25093790684587e-10	2.05885787212836e-07
"23582"	"IFIT3"	2.64608777086765	8.72462223511827	39.8572836875648	2.73213443790996e-10	2.34280528050779e-07
"25415"	"LOC107131983"	3.77550449766598	4.77514549351491	39.5893616723365	3.13385809816303e-10	2.52920782981157e-07
"11094"	"DYSF"	2.79569969308959	5.35473194414147	39.1866086428802	3.85172995042787e-10	2.93587416221502e-07
"13453"	"MMP9"	3.90933826338235	3.91301836946949	39.0163202549973	4.20277399477042e-10	3.03484522148685e-07
"26268"	"SHROOM4"	4.67477177096488	2.33138030151764	38.6850709526595	4.98003536637106e-10	3.25824047588584e-07
"1824"	"LOC101902670"	2.8460674213315	4.32574500425227	38.6806102275003	4.99142957956104e-10	3.25824047588584e-07
"21330"	"CCR1"	2.16061930964662	7.60058540203878	38.5915045995425	5.22458385346126e-10	3.25824047588584e-07
"18154"	"OSCAR"	3.23561686050829	5.72976105448161	38.3713249851444	5.84854815017253e-10	3.48878611392901e-07
"26047"	"TRPC5"	3.51356800843382	3.07262430016065	37.8353133317727	7.69757013022074e-10	4.30349244878086e-07
"17725"	"C5AR1"	1.94946982685674	8.2642251803866	37.7991381927105	7.84164075944034e-10	4.30349244878086e-07
"678"	"PTX3"	4.42079324741003	1.38544053777111	37.3470512326467	9.88702575409587e-10	5.21730743639213e-07
