"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"5263"	"IFT27"	1.59654551048575	3.62341493335622	26.5768858357732	2.53255631548619e-07	0.000739895540729564
"5457"	"OLR1"	1.34804601858632	4.04886540050487	26.2021297180273	3.07483229862549e-07	0.000739895540729564
"10315"	"C10H15orf52"	1.67224751733102	1.80870096801026	24.0487331933461	9.39280376627846e-07	0.00117153879703037
"9179"	"PKIB"	1.47437101535487	4.43754950838224	23.1959903480774	1.46302055756514e-06	0.00133817613665292
"336"	"CD86"	0.974464184572537	5.13546034427423	21.867063614943	2.92206530146631e-06	0.00177089121346106
"1579"	"IDH1"	0.910763224589071	4.62061358361254	21.2315166968297	4.07016389247359e-06	0.00199438030731206
"21333"	"CXCR6"	1.16197248650046	4.6301728421039	20.9277736568022	4.76929344450965e-06	0.00211079696963459
"114"	"LOC518080"	1.40983110286673	3.84858127597865	20.8235631929151	5.03595571391951e-06	0.00211264248324517
"5473"	"CLECL1"	0.971323204066488	4.57997705046062	20.1015870470394	7.3435713476749e-06	0.0023988999735738
"18763"	"TNFSF13"	1.27878392688716	4.24201395391709	18.8178793082257	1.43812650341053e-05	0.00372284823147027
"22239"	"F13A1"	1.07254108943885	9.58156920596152	17.8389803205869	2.40407449182533e-05	0.00474952981500726
"25095"	"ASRGL1"	0.920503866211482	7.88262855883031	17.781553013195	2.47773925162067e-05	0.00474952981500726
"20049"	"SLC12A7"	0.95281960889776	5.94194812171858	17.7702794088046	2.49246462595133e-05	0.00474952981500726
"21327"	"CCR2"	0.809452705935891	6.31308531770623	17.6382931870353	2.67154623575067e-05	0.00495319112898637
"8198"	"CTSB"	0.956067464320737	8.39537203085866	16.9910442665499	3.75565497695615e-05	0.00580812708043025
"15483"	"TLR5"	1.67001442015123	2.23436389998532	16.7373725388983	4.29270097445702e-05	0.00596407295407609
"19201"	"RAMP2"	1.1453594246384	5.7928807020607	16.578574591041	4.66753574360255e-05	0.00596407295407609
"18304"	"SCPEP1"	0.814065545099817	6.80059392628069	16.4143793026719	5.0897654523128e-05	0.00596851128254117
"12840"	"DSTN"	1.3793924665783	3.13153924662491	16.0619066854871	6.1304923894255e-05	0.00642063783075709
"1117"	"CALCRL"	1.09241900976111	3.48070839661468	15.7318112144929	7.29863423022839e-05	0.00728310647707128
"7881"	"ADRB2"	0.916673775982199	3.83371130644655	15.7147549619593	7.3647425356134e-05	0.00728310647707128
"5498"	"C3AR1"	1.27791177902259	2.76159698957126	15.712870576211	7.37208307579617e-05	0.00728310647707128
"7900"	"CSF1R"	0.895695877464815	6.69259218441466	15.6401289469737	7.66114251251103e-05	0.00735041085815744
"17087"	"MT1E"	1.69828301716358	-0.185140205331506	15.5126354656183	8.19555944561444e-05	0.00770158052012536
"11633"	"RRM2"	1.13753728417635	4.55945790402358	15.4486527265502	8.4777356395943e-05	0.00788311294893314
"9440"	"VNN1"	1.20889221367657	3.60451455431981	15.426028767588	8.57983408250553e-05	0.00788339145799888
"7200"	"C3"	0.953150641361319	5.43246137815116	15.3945348987238	8.72402427900403e-05	0.00789932924976943
"1806"	"CCDC28B"	1.22182523379494	2.64427904996224	15.3822949154191	8.78071903392954e-05	0.00789932924976943
"22478"	"EMILIN2"	1.0258452050212	7.30210521082953	15.1689586295412	9.83062533562151e-05	0.00859083946526925
"8984"	"SLC46A2"	0.802250393662155	4.91056190808338	15.0785871285065	0.000103126488793863	0.00885417320576108
"10597"	"CDKN3"	1.3933084963099	1.10522512933129	15.04134944966	0.000105181230638905	0.00885417320576108
