"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"1976"	"C1QB"	-2.42948024870059	3.36938584935993	33.5525029291496	6.93660561114127e-09	5.22189194935421e-07
"5454"	"LOC100848575"	-1.47350022202548	5.60560384926123	29.719020828267	4.99423786234008e-08	2.6317712673816e-06
"20895"	"CX3CR1"	-1.56769400400443	6.38591112970884	26.5064816788269	2.62655352127858e-07	1.05223420453327e-05
"20893"	"CCR8"	-1.12850186590711	4.6645586086969	22.2978937396873	2.33462540321405e-06	6.76251641637117e-05
"5452"	"KLRD1"	-1.51120315134346	4.36196579612797	22.0896613164901	2.60207396011006e-06	7.50327373746722e-05
"1978"	"C1QA"	-2.32080366938439	2.78125972123519	21.8741354133736	2.9113162658706e-06	8.25837353182052e-05
"9401"	"SAMD3"	-1.76653523716703	2.5166748068397	21.1984378424462	4.14101895889369e-06	0.000111685237708273
"249"	"CD96"	-0.827528457376471	5.61432945572595	19.901862285015	8.15208762619389e-06	0.000198386771876523
"1977"	"C1QC"	-2.19752802987448	2.70202417685933	19.4546010666295	1.03019371909573e-05	0.000243356623195354
"21333"	"CXCR6"	-1.20735123652629	4.63162887796298	19.265064682384	1.13769116692235e-05	0.000265093650986449
"19912"	"DAB2"	-2.82530820058677	0.444771693492288	19.1449541807169	1.21157366362922e-05	0.000276662846089733
"5445"	"LOC100296778"	-1.50757271083271	2.57221979673585	18.3778981943293	1.81147048127438e-05	0.000390849717542367
"4196"	"ATP6V0A4"	-1.43422000748305	3.3082154471993	18.286024257613	1.90096693292523e-05	0.000403800743379978
"24506"	"PRF1"	-0.976295455565949	5.88166982896745	17.8466429410404	2.39441312178169e-05	0.000487456971493774
"19315"	"MRC2"	-1.76391260746261	0.316437717381993	16.1680028641446	5.7965011123743e-05	0.00105749483010174
"5440"	"LOC100336869"	-1.6476294672999	2.64160928239041	16.1493965289159	5.85372171453329e-05	0.00106509749283958
"26707"	"IGHG1"	-1.0547939459715	7.64295163654715	15.9901333471281	6.36734644585401e-05	0.00114187190647442
"2425"	"S100A7"	-1.9319288795285	1.07924003100678	15.6233672183118	7.72935055407906e-05	0.00135248827511414
"5263"	"IFT27"	-1.21696151171689	3.6830348511239	15.5718841753402	7.94269302348951e-05	0.00138451446710979
"11342"	"CD8A"	-0.741384703516698	6.27163402564328	15.3419835934882	8.97007260712345e-05	0.00152721052743769
"24177"	"KIAA1456"	-1.14691994496386	3.05840981225151	15.2960168761049	9.19101071925881e-05	0.00155043313880573
"17123"	"ADGRG1"	-1.14047680198303	5.08152445846425	14.7694040971275	0.000121490807478912	0.00199108319768969
"25244"	"CTSW"	-0.86170370724834	6.35111644246123	14.6829498287949	0.000127191684509435	0.00207212041553361
"25520"	"SH2D1A"	-0.707629546344864	4.98453962384799	14.5874625279399	0.00013380180049396	0.00216948931191449
"21310"	"PTH1R"	-1.00378415291309	3.29140256382615	14.5128335867692	0.000139207951210634	0.00224651135398927
"20063"	"IGCGAMMA"	-1.47183064269628	8.23309616240137	14.1547006052215	0.000168375887760468	0.00263762908376727
"25755"	"KIR3DL1"	-1.98632946198575	0.162426656918824	13.5110213089302	0.000237166429599524	0.00355127568518369
"17028"	"SHCBP1"	-0.94081439755069	4.2651234073879	13.4245846401712	0.00024834800068462	0.00370252008420019
"5449"	"LOC100847813"	-1.79503928683446	0.028804003063722	13.3253760582758	0.000261838393014994	0.0038699545012928
"14819"	"PDE2A"	-0.985003541223449	4.73182917895502	12.984436963406	0.000314090774936527	0.00454900391903314
"26089"	"P2RY10"	-0.589991943516303	6.21124782423624	12.5782900039687	0.000390253636776564	0.005489594535396
