"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"11115"	"NLRC4"	1.43719497056123	4.63484474318089	39.6658739091889	3.01345380196127e-10	4.12873305406713e-06
"21829"	"C2"	2.52110241950886	4.68767144882922	35.4056329478994	2.67711524456168e-09	1.38051925899891e-05
"5525"	"C1R"	3.12090710887255	4.70271035762916	35.1691039668276	3.02281423034576e-09	1.38051925899891e-05
"21327"	"CCR2"	1.05002534762848	6.3155900196091	34.3268022161244	4.65920886069542e-09	1.5958955150097e-05
"6006"	"CFI"	2.76428863436931	1.52877131339607	32.0249980032153	1.52201369545323e-08	4.17062192828094e-05
"8984"	"SLC46A2"	1.10810151735683	4.95169003990296	31.607871368754	1.88663316053903e-08	4.30812682209087e-05
"9213"	"FAM26F"	1.9372827004351	2.89481849325075	30.3370730741854	3.63118863474473e-08	6.6324709198843e-05
"15483"	"TLR5"	2.06001101455173	2.34722593980226	30.2121821713115	3.87269304131628e-08	6.6324709198843e-05
"1625"	"GPBAR1"	1.95358959889431	2.59655463325813	28.9663458987423	7.36467230199569e-08	0.000112114861344048
"336"	"CD86"	1.0614196200234	5.17572630834671	27.7612939590724	1.37244641484466e-07	0.000180340755436599
"21045"	"MITF"	1.20625677202779	4.52151350349901	27.5169932563192	1.5572027219279e-07	0.000180340755436599
"19391"	"LOC781977"	1.98869160076212	3.65156549239299	27.4837877668994	1.58416905951069e-07	0.000180340755436599
"23614"	"MYOF"	1.32431215081876	5.13436964164336	27.3346912567815	1.71113774226391e-07	0.000180340755436599
"8699"	"LOC107132707"	2.13783884674574	3.95919267432123	26.9683402023413	2.06815393316795e-07	0.000202398407416672
"25196"	"BATF2"	3.02177802326297	3.74847755382177	26.0868533272205	3.26398873070567e-07	0.000298132730662656
"22239"	"F13A1"	1.23835011364932	9.61647176971422	25.4624145495947	4.51085595183965e-07	0.000386270233725969
"15471"	"C16H1orf115"	1.67623202509232	3.13865226473119	25.2248528958959	5.10204780386359e-07	0.0004111950409455
"5500"	"CLEC4A"	1.44754898187823	4.66485131028026	24.5112517402538	7.38771556200033e-07	0.000546432131121395
"22373"	"MOCOS"	1.54078863645338	3.44093367147606	24.4623293858555	7.57770271608386e-07	0.000546432131121395
"7778"	"CD14"	1.10275029708778	5.5402780563394	24.1471787774544	8.92468154673115e-07	0.000611385309358817
"2218"	"SLAMF8"	2.30163220369497	1.31954034227432	23.8698249075318	1.03074853630672e-06	0.000672489795044685
"15370"	"RAB7B"	1.59953257784287	3.37360828187944	23.5287544160866	1.23060790971129e-06	0.000734325416109823
"13028"	"TGM3"	1.33329666300388	8.44303144285402	23.5254564190414	1.2327191132418e-06	0.000734325416109823
"24741"	"CTSC"	1.02156598102279	7.80168219312765	23.2514106201685	1.42146149982707e-06	0.000811476833713779
"23930"	"DMBT1"	3.5571541375194	3.28763928100223	23.0077095797533	1.61353036837559e-06	0.000881885999161867
"15316"	"CHI3L1"	1.88281223448822	7.74566296564405	22.8704067220163	1.73299569275382e-06	0.000881885999161867
"24063"	"LOC404107"	2.41464084931611	3.2504552779209	22.8649787437099	1.7378966482279e-06	0.000881885999161867
"18695"	"ENO3"	1.22989983184596	4.33149940806487	22.7516977742247	1.84341207348084e-06	0.000902021029241463
"15806"	"LOC104976500"	2.08831773076304	3.20730133345714	22.5849557000974	2.0105282635725e-06	0.000949870611696789
"3935"	"SNX10"	1.52039448290517	7.65504412687764	22.1539042304534	2.51643692662263e-06	0.00112063690778447
"6680"	"ADAMTS2"	1.04651371578939	4.63834945171989	22.0882654903542	2.60396672327267e-06	0.00112063690778447
"10932"	"TPC3"	1.92331222430668	4.11882211417733	22.0784212074727	2.61735501416708e-06	0.00112063690778447
"13091"	"LOC100847256"	3.31746270718622	4.54595798963081	21.7794310067728	3.05861675184216e-06	0.0012698820641512
"2520"	"CTSS"	1.20908437297748	9.10563603619875	21.2844598400152	3.95928237458166e-06	0.0015954743474748
"237"	"HHLA2"	5.06491659272225	3.77821947644474	21.1422700029632	4.26417777259612e-06	0.00163783536534716
"3836"	"DOCK4"	1.11990911769654	3.48358288407704	21.1246849811377	4.30348683690955e-06	0.00163783536534716
"20735"	"CDC42BPB"	1.8128474350417	1.18768969090131	20.9742456254798	4.65499100778376e-06	0.00172373058912555
"22478"	"EMILIN2"	1.22504583406723	7.3656949192093	20.8638811715583	4.93105642955442e-06	0.00177790537214013
"22446"	"LOC101904579"	1.2634038521135	3.35331650349887	20.6742481622649	5.44433119044816e-06	0.00191263542667513
"26066"	"SH3BGRL"	0.990568230177831	6.31451751915198	20.4195142909165	6.21923786921802e-06	0.00212083011756188
"24520"	"PSAP"	1.02300370749499	10.1497525909268	20.3807360699053	6.34654658930276e-06	0.00212083011756188
"9058"	"STOM"	1.0494225872708	6.96395112653481	20.2985230670253	6.62517052313577e-06	0.00212982008885784
"6440"	"ANXA3"	1.19121335739174	7.44871826817826	20.2815087914865	6.68434886657083e-06	0.00212982008885784
"12302"	"GJB2"	1.74004641406422	1.70323492727563	19.9154630571796	8.09429900341154e-06	0.00252045433285776
"8475"	"TMC1"	2.89790457953984	0.872440112225734	19.8705271260592	8.28680969192784e-06	0.0025230573242023
"1385"	"HNMT"	1.02189562806628	4.65590065784843	19.7813703393598	8.68248347840006e-06	0.00258605882907737
"1579"	"IDH1"	0.900942169269774	4.6397854928728	19.6561829581752	9.27028583829026e-06	0.00270238694192372
"15248"	"MPEG1"	0.980680975144434	8.03470092065422	19.6033809531338	9.53004073671846e-06	0.00272023100278708
"15314"	"MYBPH"	1.35371280836976	5.89230946491849	19.3291966551801	1.10011259271942e-05	0.00299221047490132
"12534"	"LOC107131142"	1.54685504186423	2.91013624530853	19.3114815840901	1.11036648703038e-05	0.00299221047490132
"5370"	"MGST1"	1.0806031519192	5.1041787620622	19.3055739268082	1.11380727114785e-05	0.00299221047490132
"18709"	"CXCL16"	1.18102571340686	3.7574597515085	19.2121143884226	1.16968743262529e-05	0.00308190144507675
"11943"	"SLC2A6"	0.992378256050623	5.05078637039763	19.0249554889619	1.29020003374545e-05	0.00327222724007443
"18511"	"ALDOC"	0.944493784206813	4.91964793749675	19.0140870680465	1.29756958001246e-05	0.00327222724007443
"23887"	"SHTN1"	0.887287487729276	4.90053018419968	18.990699023493	1.3135719889358e-05	0.00327222724007443
"5703"	"APOBEC3A"	2.57031113762643	5.99840573872244	18.7182528233325	1.51525083536226e-05	0.00364991843592165
"21637"	"TREM1"	1.39228129714749	6.15334967315967	18.714208000064	1.51846836615965e-05	0.00364991843592165
"21181"	"PARP3"	1.53784345202875	3.94535674420933	18.6601941903709	1.56209817514071e-05	0.00369005294786256
"10486"	"AQP9"	1.56641295493241	2.73708783468264	18.5204835710798	1.68088098603607e-05	0.00387136958922783
"16530"	"IQCD"	1.49969519924493	1.55928953099218	18.4622086520156	1.73307009123288e-05	0.00387136958922783
"2815"	"DPYD"	1.14833877017137	6.04154541032969	18.4450080723479	1.74878326282121e-05	0.00387136958922783
"18154"	"OSCAR"	1.97656127175189	5.91140605412028	18.4416378207282	1.75187880105194e-05	0.00387136958922783
"1433"	"STEAP3"	1.12545559501109	3.08043490133965	18.3856193246021	1.80414477472678e-05	0.0038921660824585
"22365"	"SYT4"	1.9539539201373	1.63854864940874	18.3709320954391	1.81810546147977e-05	0.0038921660824585
"20970"	"IL17RC"	1.43610912986627	2.87449486384591	18.286949988366	1.90004336382614e-05	0.00400499909658184
"13352"	"MAFB"	0.934384441808445	5.02751405793386	18.0381641443945	2.16520544543199e-05	0.00449476966785813
"5770"	"CYP2D14"	1.19874588386849	3.14893080041982	17.9838941712817	2.22781924314576e-05	0.00455572409706568
"23310"	"LOC521224"	1.29518684198856	3.23765261615473	17.8472161363811	2.39369198199726e-05	0.00482293733019771
"23191"	"PYCARD"	1.45804327126407	5.64954573716414	17.7646565589071	2.49984192339916e-05	0.0049638165496365
"3823"	"TFEC"	1.2287738595437	5.29027675252378	17.7108797656824	2.5715161054452e-05	0.00503319173724354
"19201"	"RAMP2"	1.19144735838119	5.8110915583342	17.6326398392286	2.67949920971559e-05	0.00509182428123199
"2098"	"CREG1"	1.03318254143685	6.45543907046404	17.6158627711942	2.70324106636683e-05	0.00509182428123199
"8126"	"PAM"	1.0682227693141	6.47807786604634	17.5963600209637	2.73110597486313e-05	0.00509182428123199
