"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"7191"	"LOC508459"	-2.41496015579858	6.21622822981239	53.9244296194611	2.08350965581191e-13	2.8546165794279e-09
"3540"	"UPP1"	-2.93106041375386	6.56541490301416	40.9040528920554	1.59889214089356e-10	1.09532106111913e-06
"5263"	"IFT27"	1.94934079729244	3.6830348511239	38.8393481171216	4.60158054877802e-10	2.10154183662692e-06
"17725"	"C5AR1"	-1.69769128941588	8.35784564917773	37.4027502440165	9.60865361394522e-10	2.94505779080899e-06
"17726"	"C5AR2"	-1.80743292508559	6.71105930268898	37.1842922949274	1.07476016013758e-09	2.94505779080899e-06
"6621"	"BST1"	-2.75915540121966	5.41041658726096	35.6139549866432	2.40558059660283e-09	5.49314329234256e-06
"25416"	"LOC101903832"	-2.52501308929931	5.23468969739849	35.1963172666042	2.9808671601607e-09	5.83440870876596e-06
"5457"	"OLR1"	1.62418970867179	4.05750163496419	34.0810232879831	5.28643110364312e-09	7.5177269080358e-06
"18109"	"FCAR"	-2.16107932945296	4.91909725492447	34.046144525518	5.38204445524402e-09	7.5177269080358e-06
"21330"	"CCR1"	-1.79833090979614	7.6847116230562	34.0085682622814	5.48699139335508e-09	7.5177269080358e-06
"336"	"CD86"	1.17325274980873	5.17572630834671	33.5742025020361	6.85964980240983e-09	8.09199340884052e-06
"25192"	"LOC100336747"	-1.42377161495214	5.70839561371089	33.5106840940084	7.08736011284478e-09	8.09199340884052e-06
"25473"	"LONRF3"	-1.78731013610947	6.12426768049458	33.1138804046973	8.69160301252873e-09	8.84658762318838e-06
"13453"	"MMP9"	-3.40896474812551	4.09744417093328	33.037540431949	9.03964869167487e-09	8.84658762318838e-06
"21327"	"CCR2"	1.01418419268379	6.3155900196091	32.0039330843466	1.53860750128125e-08	1.40536409167029e-05
"10315"	"C10H15orf52"	2.05144493327454	1.79735777768192	31.4722363369061	2.02312409311219e-08	1.73242644998313e-05
"2981"	"GADD45A"	-1.88838640310213	6.09357939707956	31.323008254024	2.18475062444832e-08	1.76078048856274e-05
"6476"	"GPAT3"	-2.31822941253299	5.26490510614797	31.158729594297	2.37767692866402e-08	1.80980842220143e-05
"17727"	"DHX34"	-1.29623255594432	5.2730640747163	30.9949480537373	2.58700926558717e-08	1.86550599725315e-05
"5498"	"C3AR1"	1.74171366991867	2.734804518649	30.8081405599011	2.84840455208771e-08	1.95129953840769e-05
"1117"	"CALCRL"	1.49175660067621	3.45878350838852	30.5227860746798	3.29968108501203e-08	2.15280621646428e-05
"18417"	"CCL16"	-2.78354054970647	6.10415005076077	30.1618266855992	3.97456024638571e-08	2.35244131281086e-05
"16895"	"VAT1L"	-1.95362153488247	6.2271108813552	30.0919990792305	4.12027632968109e-08	2.35244131281086e-05
"678"	"PTX3"	-3.34318129010779	1.62044222820564	30.0917694290268	4.12076428782283e-08	2.35244131281086e-05
"5473"	"CLECL1"	1.23592435551642	4.57878936580757	29.9003830748984	4.54822962567381e-08	2.49261176405428e-05
"1622"	"CXCR1"	-1.94426529982914	7.50565595648096	29.6208081746789	5.25379084020772e-08	2.70596320853949e-05
"16419"	"LOC527744"	-1.8435083209375	5.54563530287245	29.5510840092008	5.44621856713625e-08	2.70596320853949e-05
"1579"	"IDH1"	1.11372752988253	4.6397854928728	29.5214834243398	5.53003210270094e-08	2.70596320853949e-05
"15483"	"TLR5"	2.0392657259399	2.34722593980226	29.3546669242729	6.02711913457549e-08	2.84750204354548e-05
"9179"	"PKIB"	1.82122769105517	4.41480682166297	29.2105702107123	6.49240518262211e-08	2.88549535287996e-05
"22239"	"F13A1"	1.3291107049439	9.61647176971422	29.1997548642012	6.52874651042104e-08	2.88549535287996e-05
"2431"	"PGLYRP4"	-2.32469838055512	2.42210139305734	28.6982722373622	8.45791581178241e-08	3.62130951678846e-05
"1025"	"LOC100847346"	-3.4890866458724	3.68454830920579	28.5679761400452	9.04660442140577e-08	3.75598567205092e-05
"16359"	"GLT1D1"	-2.15370343378053	2.68506047352496	28.3080434484257	1.03465172923041e-07	4.14144021770106e-05
"1824"	"LOC101902670"	-2.28894878420831	4.46907202627907	28.2649293981881	1.05795494941637e-07	4.14144021770106e-05
"4868"	"RAB3IP"	-2.22868419902733	5.90045638035169	28.1159293134389	1.14261523219472e-07	4.34860313786106e-05
"7200"	"C3"	1.2969583558214	5.39541329980432	28.0624779655617	1.1746130113944e-07	4.34956023489586e-05
"9281"	"CD24"	-2.52979954344571	7.42863713194568	27.9655220637655	1.23496334385334e-07	4.45269283529857e-05
"19483"	"SOCS3"	-1.26689834171112	7.48405851054322	27.8224687033015	1.32972839464585e-07	4.67143813719045e-05
"12070"	"LOC539110"	-1.97902393998498	5.08414139225799	27.6763261759537	1.43407030022861e-07	4.91204929585806e-05
"12840"	"DSTN"	1.77763171413187	3.17704768204284	27.4614162387356	1.60260046827892e-07	5.35542171119257e-05
"20049"	"SLC12A7"	1.17695014569424	5.98235471902554	27.4109952495762	1.64493311354807e-07	5.36600680683859e-05
"21333"	"CXCR6"	1.44352671161316	4.63162887796298	27.226444356706	1.80966488921079e-07	5.640414340815e-05
"13661"	"SLC45A4"	-1.76423220657928	6.91356672672073	27.209139739448	1.8259345549239e-07	5.640414340815e-05
"114"	"LOC518080"	1.65772441643017	3.88757944108551	27.1811558198795	1.85255561883567e-07	5.640414340815e-05
"8790"	"SLC28A3"	-2.76216925651131	6.84358891696305	27.0370618144968	1.99591674813798e-07	5.94479464483445e-05
"18304"	"SCPEP1"	1.01668870679736	6.83370833049821	26.0861618311775	3.26515790336336e-07	9.51828264552795e-05
"17107"	"CPNE2"	-2.57707281590843	2.74588548825775	25.8092742223248	3.76873233481473e-07	0.000107573753581868
"23582"	"IFIT3"	-1.85194999029455	8.83223759449654	25.7618528290391	3.86247625142498e-07	0.000107782215636653
"15276"	"TCN1"	-2.74229301770422	7.95439751134201	25.7267502613105	3.93337039765904e-07	0.000107782215636653
"22994"	"ITPRIPL2"	-1.31606964972665	6.44959639967354	25.6866463754958	4.01596328173345e-07	0.000107887672398098
"9043"	"MEGF9"	-2.36057163965467	6.06984177994395	25.5658710306883	4.27534885261645e-07	0.000112647220441727
"6390"	"PF4"	1.92669083367108	6.17532062038633	25.4179561218572	4.61601524575906e-07	0.000119084652059921
"19201"	"RAMP2"	1.43869393145071	5.8110915583342	25.3417844813603	4.80193190310655e-07	0.000119084652059921
"462"	"BCL6"	-1.88882740708554	8.17369007519516	25.3416357217184	4.80230223814284e-07	0.000119084652059921
"16034"	"RD3"	-1.90419716829526	3.22303537914561	25.3156881000537	4.86733852664446e-07	0.000119084652059921
"445"	"IL1RAP"	-1.25438146522692	4.36794647912415	25.2383641495013	5.06643058849285e-07	0.000121780992092878
"3568"	"HEPACAM2"	-1.88677519184628	2.42018900027296	25.1345146486661	5.34672740105013e-07	0.000126302607106531
"711"	"MED12L"	-2.15827582372177	4.42947050224081	25.0667783863764	5.53787780144497e-07	0.000127851783614479
"8699"	"LOC107132707"	-1.99089069267578	3.95919267432123	25.0178182114347	5.68029476235318e-07	0.000127851783614479
"19894"	"SEPP1"	1.3490441162222	4.76938749294069	25.013762634815	5.69225516420934e-07	0.000127851783614479
"8984"	"SLC46A2"	0.979122453192263	4.95169003990296	24.7362474927526	6.57361749954332e-07	0.000145266344131037
"18763"	"TNFSF13"	1.54150896462223	4.28807756339647	24.6315633523893	6.9405582101825e-07	0.000149380804584133
"11255"	"CCDC88A"	0.978936894811802	5.62780729155936	24.6212328669424	6.9778640196953e-07	0.000149380804584133
"5269"	"CSF2RB"	-1.58755121666693	6.62645366383331	24.5703140285708	7.1647026646931e-07	0.000150468185587598
"7976"	"ADAM19"	-1.67209259894124	8.95398417397263	24.5479601914226	7.24830322515251e-07	0.000150468185587598
"7335"	"C7H19orf35"	-1.70850722826818	4.91310638179284	24.2833025075569	8.31568056477311e-07	0.000170049461817845
"24949"	"SLC37A2"	0.919901791385482	5.48981069262629	24.2309771208945	8.54468569038235e-07	0.000172162850946954
"21228"	"UBA7"	-1.76333929091337	6.88743804594719	24.1805584320023	8.77132696485243e-07	0.000174168044558613
"7900"	"CSF1R"	1.14081818100279	6.69147156394956	24.1123735656585	9.0874496648328e-07	0.000175936287822772
"20133"	"MCTP2"	-1.74148631613088	7.0216678407902	24.0881741908125	9.20237032907632e-07	0.000175936287822772
"25095"	"ASRGL1"	1.11305586222333	7.90081748803869	24.0791470199125	9.24561179712399e-07	0.000175936287822772
"13028"	"TGM3"	-1.3466485677046	8.44303144285402	24.0425771803662	9.42288140864014e-07	0.000176599160783055
"6479"	"WDFY3"	-1.61426555950763	6.75709242534319	24.0124338854376	9.57155861298531e-07	0.000176599160783055
"20400"	"SEMA7A"	-1.25264280307603	5.46967876126946	23.9927692196786	9.66981723708062e-07	0.000176599160783055
"24784"	"GAB2"	-1.48554718151956	7.69171198607466	23.942855272092	9.9237891890084e-07	0.000176599160783055
"11094"	"DYSF"	-1.88489214790068	5.52416124943172	23.9426355544263	9.92492181614132e-07	0.000176599160783055
"25542"	"XPNPEP2"	1.52312488421074	2.26216965285954	23.7995381929863	1.06908107977231e-06	0.000187788203512314
"14870"	"DGAT2"	-1.92100664700062	8.77419993848017	23.6826959095898	1.13599381026421e-06	0.000197015837904177
"11106"	"TGFA"	-1.55806141679675	5.20529414891518	23.532768265588	1.22804334691482e-06	0.000208778453026232
"19306"	"ITGB3"	0.964225441327028	5.64646110961317	23.5230007529112	1.23429345997554e-06	0.000208778453026232
"16151"	"TMEM154"	-1.58896079629644	7.8912129652607	23.4810064131419	1.26153062140503e-06	0.000210783305413053
"24833"	"PTPN5"	-2.78806248685454	4.20507525031216	23.4538954199911	1.27943395656185e-06	0.000211199092034384
"22446"	"LOC101904579"	1.35349756691069	3.35331650349887	23.4023454202294	1.31418208462623e-06	0.000214352485017428
"14890"	"MUC15"	-3.19188505731024	0.781298000126997	23.3343215488553	1.36148754110126e-06	0.000215927847811555
